STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,OBS_VALUE,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_STATUS,OBS_CONF,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EAR,WB_WDI_SP_POP_TOTL,_T,_T,_T,PS,_Z,_Z,_Z,2017,3.274060446E9,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,Early-demographic dividend,"Population, total",Total,All age ranges or no breakdown by age,Total,Persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EAS,WB_WDI_SP_POP_TOTL,_T,_T,_T,PS,_Z,_Z,_Z,2017,2.33347552E9,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,East Asia & Pacific,"Population, total",Total,All age ranges or no breakdown by age,Total,Persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EAP,WB_WDI_SP_POP_TOTL,_T,_T,_T,PS,_Z,_Z,_Z,2017,2.087238522E9,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,East Asia & Pacific (excluding high income),"Population, total",Total,All age ranges or no breakdown by age,Total,Persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,TEA,WB_WDI_SP_POP_TOTL,_T,_T,_T,PS,_Z,_Z,_Z,2017,2.061449949E9,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,East Asia & Pacific (IDA & IBRD),"Population, total",Total,All age ranges or no breakdown by age,Total,Persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EMU,WB_WDI_SP_POP_TOTL,_T,_T,_T,PS,_Z,_Z,_Z,2017,3.44810179E8,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,Euro area,"Population, total",Total,All age ranges or no breakdown by age,Total,Persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ECS,WB_WDI_SP_POP_TOTL,_T,_T,_T,PS,_Z,_Z,_Z,2017,9.15065824E8,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,Europe & Central Asia,"Population, total",Total,All age ranges or no breakdown by age,Total,Persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,YEM,WB_WDI_SP_POP_TOTL,_T,_T,_T,PS,_Z,_Z,_Z,2017,3.3090921E7,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,"Yemen, Rep.","Population, total",Total,All age ranges or no breakdown by age,Total,Persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZMB,WB_WDI_SP_POP_TOTL,_T,_T,_T,PS,_Z,_Z,_Z,2017,1.744132E7,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,Zambia,"Population, total",Total,All age ranges or no breakdown by age,Total,Persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZWE,WB_WDI_SP_POP_TOTL,_T,_T,_T,PS,_Z,_Z,_Z,2017,1.4812482E7,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,Zimbabwe,"Population, total",Total,All age ranges or no breakdown by age,Total,Persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFE,WB_WDI_SP_POP_TOTL,_T,_T,_T,PS,_Z,_Z,_Z,2018,6.57801085E8,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,Eastern & Southern Africa,"Population, total",Total,All age ranges or no breakdown by age,Total,Persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
